topic	year	vocabulary	man_woman	man_leader	man_manager	man_father	man_mother	man_strong	man_weak	woman_woman	woman_leader	woman_manager	woman_father	woman_mother	woman_strong	woman_weak	he_woman	he_leader	he_manager	he_father	he_mother	he_strong	he_weak	she_woman	she_leader	she_manager	she_father	she_mother	she_strong	she_weak
Business	1987	31728	0.822692747848	0.385616902349	0.417030848182	0.645749525012	0.694778622286	0.132480758664	0.0985842265279	1.0	0.316384958098	0.317998736123	0.551988500681	0.648110976832	0.0264605258998	-0.0489398241838	0.339729412289	0.232633036287	0.0649538614928	0.419063893307	0.399991914421	0.277048721048	0.178803578584	0.464039075531	0.10450737897	0.184772196054	0.446470796516	0.480825705698	0.210245333363	0.125948870207
Business	1988	32631	0.815059743615	0.437889465688	0.369696952905	0.68381282415	0.668445192611	0.0950129173098	-0.020552756684	1.0	0.276787213063	0.243532703921	0.612744292584	0.705429627188	0.0230578975758	-0.106447841981	0.393718051217	0.16109909768	0.054978852873	0.391093716665	0.433542472268	0.252765951274	0.156794176355	0.549363416178	0.045314683079	0.0744323978005	0.439903509786	0.554691270052	0.148283802793	0.0802337775848
Business	1989	32671	0.743514981726	0.543954411657	0.35414782882	0.604519829469	0.689750489926	0.109381258293	0.0244553503735	1.0	0.332891710969	0.268462677761	0.539987619501	0.746739378825	0.0361677214535	-0.04930870373	0.377409696815	0.217932927543	0.0822449730292	0.433588697023	0.403460814331	0.233788326034	0.186356927138	0.462062291157	0.0961315236482	0.136252572707	0.430041607444	0.471762782221	0.165283612489	0.162656068985
Business	1990	32393	0.791216724027	0.373664453348	0.315344396604	0.693983328795	0.682811824364	0.0699884867433	-0.011524514596	1.0	0.308290059933	0.25779063296	0.547610796189	0.676819779941	0.0995621332155	0.0540808403027	0.258078552857	0.153438425195	0.087212817976	0.376958959568	0.304557440795	0.249546198233	0.183861712958	0.392231485803	0.10608731295	0.135163749667	0.446415900251	0.459897005633	0.184525854385	0.132717096017
Business	1991	29669	0.839384161625	0.332510091452	0.314019417416	0.572953400011	0.60467123915	-0.00844570711484	-0.114422040937	1.0	0.254476251347	0.237611251174	0.589219362541	0.663198141297	-0.0295556915552	-0.144966283175	0.35623111071	0.00233711947489	-0.0323998296075	0.380038957411	0.281504572192	0.20674203703	0.137612187443	0.486664601924	-0.0754734975149	0.0690777188403	0.407384502606	0.384461459814	0.103720595197	0.0645633376336
Business	1992	28747	0.835472370858	0.527547566327	0.305730438425	0.668290232348	0.746395256401	0.0478830407277	-0.0726148750112	1.0	0.436457808266	0.28336332792	0.549293469768	0.651372463233	0.00370842128198	-0.148607172381	0.277939736143	0.144523665466	0.090864063894	0.326956682551	0.239198236821	0.278300630955	0.202790786269	0.429225320099	0.0871213038359	0.143257311709	0.369896156841	0.334233171674	0.245918552807	0.0971313573254
Business	1993	27344	0.832796484275	0.481070471476	0.310230957218	0.686942142396	0.703875669186	0.0515862547376	-0.101203881096	1.0	0.340945251006	0.294201911803	0.581507642398	0.641636358909	-0.0692792663776	-0.200456567507	0.312184015789	0.144939835963	0.0277548018857	0.327736619212	0.341438500677	0.261197160123	0.134577206217	0.447748807156	0.0650486287097	0.0695950992772	0.370554849525	0.469242969554	0.196312779422	0.0600565081276
Business	1994	28066	0.855735404926	0.331368524157	0.372432311556	0.655203505351	0.725098824203	0.0215724230521	-0.0988790414306	1.0	0.223340644471	0.325107840806	0.62249397335	0.746506364423	0.0231770015451	-0.16883349741	0.3174433276	0.0470156127669	0.0666034737625	0.361361594334	0.292182132612	0.272593323458	0.17980543942	0.447553889928	-0.042637167053	0.0889715451146	0.419415023326	0.427558417615	0.204291251381	0.0689296095974
Business	1995	28711	0.858762100899	0.365408472506	0.281913517445	0.695588044525	0.699505416831	0.0316150742607	-0.0686274786149	1.0	0.299348512177	0.226276010297	0.677976861348	0.712852909722	-0.100231626851	-0.142288770217	0.271909439632	0.043320388249	0.0180725283957	0.342430777278	0.333581241177	0.192082337152	0.13648741202	0.397406476793	-0.0433040436381	0.0560483264052	0.361992470447	0.421010089321	0.0943698817675	0.0867738015339
Business	1996	28801	0.853601005353	0.304078715168	0.255860624465	0.605011170994	0.720614973399	-0.0451445172949	-0.124442168022	1.0	0.223256287171	0.240477970526	0.571422178797	0.77888572476	-0.0646781002561	-0.132842396054	0.241798882147	-0.027798722504	-0.0529891519822	0.347220098492	0.29929296331	0.116474523724	0.0374926544904	0.41639060064	-0.106126892724	-0.00874720983007	0.409325877259	0.460251285127	0.0559215900922	0.00611742195677
Business	1997	27285	0.887985507156	0.235887045854	0.187331890533	0.67037454175	0.718579114188	-0.126078789272	-0.196588433337	1.0	0.187216185173	0.202949265212	0.625521114596	0.708291351833	-0.162720996226	-0.237231425176	0.267121836495	-0.0399393767996	-0.0898252105391	0.356278090545	0.261400978422	0.146173044647	0.0536637681288	0.4233321531	-0.148799662873	-0.0642777407677	0.379646206882	0.379218589925	0.11451738171	0.0204753906081
Business	1998	27327	0.852091523338	0.354740796672	0.289368398803	0.642413036485	0.714607147887	-0.0997445037231	-0.25717112452	1.0	0.23579053338	0.337215352925	0.625239842302	0.741775677142	-0.0592810875976	-0.263717295244	0.183976591192	-0.0375055238302	-0.0734563955899	0.36571685635	0.324135403374	0.102339669266	0.0203238554177	0.35379706526	-0.15961114804	0.0316813786944	0.402170266487	0.431143531195	0.0996311149534	-0.0713873551072
